vid,y_GT,y_pred
7048940393475460387,1,1
7018372776943766823,0,0
7048603452229831943,1,1
7038808265320418563,0,0
7050839413848296739,1,1
7019839633865428262,1,1
7029590123297754371,0,1
7056176038535056651,1,1
7053608466006510880,1,1
7039922477526469901,0,0
7020263243776019748,1,1
3x6d7bq2f8dc95u,1,1
7047824234395045156,1,0
7049581887957896480,1,1
7022452124336262414,1,1
7040074834931354914,1,1
7046943614638787872,0,0
7043791676510440745,0,0
7048969477999840516,1,1
7049986028387568935,1,1
7037037902475300128,0,0
7017376717115264286,1,1
3xjtcqeba4gb9wa,0,0
7034590432021581088,1,1
7043426723593014562,0,0
7035210171949288740,1,1
3xe5ep2me9fcac4,0,0
7052861203307056414,0,0
7056726761974926628,0,0
7038252244478840095,1,1
7033613488576679168,1,1
3xbiwhc4gr6aarm,0,0
7017442227408473385,1,1
7042137290080062724,0,1
3xexs4d8xaxzsxk,0,0
7020684985111809310,0,0
3xxqh9g2mqd5z6w,0,0
3xekv75eurqih29,0,1
7028615037652618500,1,1
7018009000729988352,1,1
7027490498361265443,0,0
7032253745689857317,1,1
7055801040767159565,1,1
7027945823648435488,1,1
7019175347518328098,1,1
7056404286284090662,1,0
7023258320903441699,0,0
7045955588488006944,1,1
3xvg252p7mhzxnc,1,1
7043952122508872994,1,1
7047470404633480462,0,0
7056960971734109476,0,0
7030430491962527014,1,1
7043312251079576864,1,1
7024680548287139110,1,1
7034473142282095904,1,1
7044719543280848141,0,0
3xizkej8sh2m5ue,0,0
7054459665228303657,1,1
7023287644146633995,1,1
7044483368649493797,0,0
7025048954974833934,0,0
7043412541501984038,1,1
3xrq9wuzmb2n2wg,0,0
7057450949576609031,1,1
3x9zrpu3gbf7hh2,0,0
7046643645541403941,0,0
7048879953420569893,1,1
7036923326471671053,1,1
7048461958416305448,0,1
7054523893691829544,1,1
7023244925978397983,0,1
7030541499603455247,0,1
7055512816345795874,0,1
3xzrpewykxkhw9g,0,1
7033568781016239400,1,1
7034062611872238856,0,0
7048950287305952544,0,0
7042979615991811342,1,1
7017414510847724836,1,1
7035206290636836096,1,1
7039513583717272863,1,1
7055097663162879272,1,1
7034350483309399309,1,1
7023193130031713575,0,1
7031939937406553381,0,1
3xt56hysgxmysde,0,1
3xu8n8jmv53tx34,0,1
7055906127388658974,1,1
7033779180982603049,0,0
3xyee2uc9irhyw9,0,0
7046999925455916318,0,0
7025234606643334440,1,1
3xr6rund6htjga4,0,0
7056399445985987871,0,0
7039904064364088608,0,1
7041933462365883683,1,1
7056402040389520648,0,0
7045091116760239360,1,1
7024885711677525260,0,0
7052273452274830599,1,1
7053628147362942223,1,1
7042245916841053473,1,1
7053069428979764487,1,1
7033661092387720460,1,0
7029510412718624040,0,0
7050313098820947207,1,1
7037347520925715720,0,0
7031123988202016039,1,1
7054005875446500612,1,1
7035068206834355469,1,1
7029602985692941572,1,1
3xcbamtjy9g79fc,0,0
7020440059090406659,1,1
7037499302746393893,1,1
7022913322009890051,1,1
7032965221509582092,1,1
7029566764732222750,1,1
7039979927290039588,0,1
7026286039853550882,0,0
7053609099254041895,1,1
7031859613460925736,1,1
7038944755274829096,1,1
7051566224471280904,0,1
7030354324840566029,1,1
7042498832483028257,1,1
7033979808505777411,0,1
7022988623481998600,1,1
7017526065920789800,1,1
7056381386420145444,1,1
7025142316490919204,0,0
3xkyntm4ddwj69s,0,1
7049920788383698215,1,0
7055213699849538831,1,1
7021067470937001254,1,1
7021409894137859365,0,0
3xfvd5368w5aaw9,0,1
7048783060040551710,1,1
7045383922292641031,1,1
3xzfu98w5vd8rym,1,1
3xeku62m6ws5f92,0,0
7049357768301546755,0,0
7031081942648933670,1,1
7027674089112341795,1,1
7031865728416468236,1,1
7056718049017204004,0,0
7025213002756394276,1,1
7040780207178927372,1,1
3xyekg2aa2sfxq4,1,1
7034840731491634446,1,1
7059265016276552992,1,1
7049184364088823053,0,1
7035527261545598243,1,1
7038857031654182148,0,0
7046160617840856361,1,1
7056401603636563207,0,0
7057819525407952167,1,1
7042975466105343271,1,1
7028133155794111757,0,1
7018344678059724047,1,1
7018783925770128655,0,0
7054455374837075204,1,1
3xjmefgwtxxvtgy,0,0
7029482339818392863,1,1
3x5w3hq73bw9eby,0,0
7019625163473865996,1,1
7031891728529394982,1,1
7028453876248399135,0,0
3x65ep66n5zqdxm,0,0
7044544101886332167,1,1
3xee737rmjg4p92,0,0
7031092145968729378,1,1
7048827243237281055,1,1
7041717698761329923,1,1
7034461852092353807,1,1
7021437448987102471,1,1
7030004578389183784,1,1
7039178038545845536,0,0
7051877619251318023,0,0
7038497948476378383,0,0
7031561017180065063,1,1
7051110607449263398,0,1
7024869071128628516,0,1
7029522681917689091,1,1
3x56fqqqan35vtk,0,1
7044849883752320270,0,0
3x8ire7jezweh7c,0,0
7035566006554643751,1,1
7037803401752677662,1,1
7030579781770988808,1,1
3x76a99a5e67jre,1,0
7046936640991792418,0,0
7035537991837699368,0,0
7017791130548833536,1,1
7037659286041906439,1,1
3xp849bntcd8umi,1,1
7034118132620971303,1,1
7055180730518883587,1,1
3xjp7rzxfjd5wes,0,0
7051775977361296655,1,1
7030728031652138273,0,0
3xirssh3uruebri,0,0
7034629754259098916,0,1
7032869305435933963,0,0
7048576318459497742,0,1
7018087007637359876,1,1
3x6kgc2skkeys7m,1,1
7037740090369625379,1,1
7021764129945898271,0,0
7017326145901169956,1,1
7055540654083935523,1,1
7025586251960945958,1,1
7026682604434902276,1,1
7048279986280598819,1,1
7019485257175043335,1,1
7058189158447140103,0,0
7050479213098388777,0,0
7028505403948420360,1,0
7030342786935246084,1,1
7047561614614187264,1,1
7035424396676320515,0,0
7029577288278641927,0,0
7033034658308771110,1,1
7021399162243534118,1,1
7018051758337412366,0,0
7025218023657114910,0,0
7017441632828067109,0,1
3x6g8rysfypvsc6,1,1
7027494216439811364,1,1
7043587064008281358,0,0
7050683268659727646,0,0
7024060485381147918,0,1
7028054479111015692,0,0
3xcz7in4que5si4,0,0
7038557817552293123,0,0
7048915245552782607,1,1
7060231048436665640,1,1
3xmydr5rp66gfpm,0,0
7038604197650058503,0,1
7054330907901136166,1,1
7033335315314101517,0,1
7056313944817945856,1,1
7053088371425529092,1,1
7050760867020934414,0,0
7044047262388882688,1,1
3xdqfdv7mydwwfc,0,0
7055924468711050503,1,1
7022992369045851404,1,1
7019796409754881316,1,1
3xrk8cxhhqwimqu,1,0
7024878215407619362,0,0
3x3rg3rthx6yk8e,0,0
3xbd9q2xtppijqu,0,1
3xnw86kuddjgs2m,1,1
3xcwdz3x45utvmw,0,0
7049723441108241679,1,1
7020645164867702055,1,1
7018010806272920835,1,1
3xffw33yzwyxn66,0,1
7020750371622554913,0,1
7039925672155860265,0,1
7021333575794560288,0,0
7054857378411400456,0,0
3xtf6mqjhubyp6q,1,1
7024261770944531751,1,1
7033359367730777348,1,1
7021159338882370855,1,1
7030359137842154752,1,1
3xy6xs5kz4asrd9,1,1
7048471469944327464,0,0
7020228622967491879,1,1
7054804462501776651,1,1
7037808720532786445,0,0
7050044992445893918,0,0
7020553684987809032,0,0
7048197292616174862,1,1
3xtgnmm6ti7dax2,0,0
7021289862108122404,1,1
7056367962126634253,1,1
7057915117601688868,0,0
7020557739868867870,1,1
7043686053001186567,0,0
7029591662020070691,0,0
7037720351664590120,0,0
7039894871749987621,0,1
7040430360127130892,1,1
7018354482329177359,1,1
7041921581278416158,1,1
3x3e23czmz7bhxa,0,1
7021093041859579150,0,1
7041976735910432034,1,1
7048861382715936035,1,1
7031973520406023427,1,1
3x86dqjqgniye9q,1,1
3xrdmz9jp5euq5a,1,1
7057110614602288425,1,1
7053134515258068257,1,1
3xqeqr9w3n4c7hk,0,0
7043720289464749325,0,1
7017259392332549390,1,1
7023692039996919080,0,0
7017697773889834276,0,0
7058183113519746307,0,0
7024788820474318094,0,0
7050407300435053832,0,0
7022645150371433732,1,1
7024722988222123302,1,1
3xytyzwx3fpd5va,1,1
7042127707425099016,0,0
7054496591473855747,0,0
7049528744184204574,0,0
3x8hupc4mjyjx7e,0,0
7043725834615606564,1,1
7036960164108324109,0,0
7017716576472321315,1,1
7029969757415673119,0,0
7023626433339641092,0,1
3xsu7qvs4uc3qw9,0,0
3x6y3jhyehykdz6,1,1
7037462720379211011,1,1
7038958429158870280,0,0
7018074404609330472,1,1
7028529035609148676,1,1
7052674165236583688,0,0
7046313095060311333,1,1
7029478371427912973,0,0
7039183851284860197,0,1
7020439365021224195,0,0
7038747888897264935,1,1
7024872299543235874,0,0
7027022221763824926,0,1
7040267067081133326,0,0
7034867342387596559,1,1
3xtrcijpu64y6xc,0,0
7048807143155191081,1,1
7031042923403726118,1,1
7050033675534208256,0,0
7042845353191755020,1,1
7025573055808294159,0,0
7021444066311179560,0,1
7036919950036012292,1,1
7032866394190417155,0,0
3xxpn236a2yfygq,0,0
7019104516016590080,1,1
7034682911441915136,1,1
7021056131950857480,0,0
7055265850936397071,1,1
7022235670324251941,1,1
7047031603356388621,0,0
7029504216238427431,0,0
7039192061043576100,0,0
3x5azhb8s73fe3e,0,0
7027788692471287076,0,0
7057257608880655650,1,1
7017433906135698724,1,1
7017364334938443039,1,1
7037223827880938752,1,1
7053548393922071823,1,1
7055532121758158112,0,0
7025145570293566731,0,0
7041471601153559815,1,1
7038198919838387493,1,1
7025167215913667851,0,0
7017589177361435936,1,1
7040050087627607304,1,1
7029585948459420964,1,1
7023555587845672204,1,1
7032213017500732680,1,1
7024868156531330304,0,0
7042654809836621071,1,1
7037678639407713544,0,1
7025399661116525854,0,0
7020393255414156552,0,0
3xviwmw4hienh2g,0,0
7026575265421610244,1,1
7053369565618670856,0,0
7019606833019047180,0,0
7051927357380168960,1,1
3xiqs66buw6r2jw,0,1
7020425430473706765,0,0
7053378834468474149,1,1
3xhdghhypy3s9ma,0,0
7040459322459032873,1,1
3x5figva6s2sk7s,0,0
7019257441250544904,1,1
7052522725612489992,0,0
7019229281704250662,0,0
7017344287406886181,1,1
7021083431903808779,1,1
7034083180672011552,1,1
7041376892577991973,0,1
7044795417824922891,0,0
7032287848623639840,1,0
3xc8mjfrqhruxq9,0,0
7053657591594962210,0,0
3xj4meizhnndq7w,1,1
3xvs9yq5ssbq394,0,0
7021440042019179791,1,1
7024876615393938724,0,0
7055611209025850662,1,1
3xdq4zhsege5nsi,1,1
7017611679143906568,1,1
7032175363627240744,0,0
3x6snt7agsnh6yk,0,0
3xw59ifzkrgxeg4,0,0
7028190137171430692,1,1
7053384921401789708,1,1
7029209861531520294,1,1
7048919632329067810,1,1
7017695556092890376,1,1
3xnqtnd2zuif7ke,1,1
7039905905583918340,0,1
7023492285463612708,1,1
7024763407547125006,0,0
3x2xkqtcffyy486,0,1
7042467822664043783,1,1
7027611337324858659,1,1
7042982526268362015,0,1
7030659592841334053,1,0
3xgjcuv8463gbhs,0,0
7025198307337063721,1,1
7047811261353987369,1,1
7042975772717436167,0,1
3xnh6ksug7tnyti,1,1
7056682221725388064,1,1
7021897732549823758,0,0
7020227558654479650,1,1
7038847899148504361,1,1
7025136991641537833,0,0
7035978396383431976,1,1
7028536210775723272,1,1
3xp8rwyviepz87q,1,0
3xqjpzpt4e4jmd6,1,1
7028207119946059040,1,1
7035914620879555855,1,1
7029994065131277598,1,1
7032453438562700578,1,1
7018071054258031876,1,1
3xc5gnc47aqijk4,0,0
7045264001541917966,1,1
7054011574050147598,0,0
7045640507996916992,0,1
7020326987369696526,1,1
3xjbrxwwnt7eiek,0,0
7029948498762157342,0,0
7035936383457824041,1,1
3xuhnzpzcm59xjw,0,0
7044536903693110536,1,1
7017441093457399077,1,1
7020242118274764046,1,1
7056300233491303691,1,1
7029845929318436132,1,0
7018081523995888903,0,0
7019176421272718604,1,1
7021383978431106311,0,1
7044821798168399141,0,0
3xhykdy7axiwyaq,0,0
7044335645887712548,0,0
7029229563137821989,1,1
3xsefhr4knp7zvm,1,1
7040481564500774178,1,0
7023245555539184931,0,1
7021306852726050052,1,1
7042840706381106439,1,1
7043022295295593763,0,0
7034494607262059776,1,1
7040993287494307086,0,1
7018173859207728418,0,1
7036952898252639503,1,1
3x38ctqewjb8hmu,0,0
7042505949998828815,1,1
3xvvv5qkks2p7ba,1,1
7031744433435479310,0,0
7044720935663914274,1,1
7043265905731620103,0,0
3xd2pmsy6jz5t64,0,0
7035112768273517828,1,1
7044899170313850153,1,1
7045236629421690153,0,0
3xzxrpdjujcqbxw,1,1
7023011062509260071,1,1
7051811666438196521,1,1
7028138502562860301,0,0
7050820590671842572,1,1
7026283453658287400,1,1
7024927766906719518,0,0
7035041510471093508,1,1
7041770702990626055,1,1
7036877571987934479,1,1
7017739552920014116,1,1
7060192184368221454,1,1
3x34p5rv5rty2kq,0,0
7017724427525688576,1,1
7030642279803079973,1,1
7029617693196160290,0,0
3xe35cdfnkit36c,0,0
7030958335998315790,1,0
7027662208859393313,1,1
7031444334620757255,1,1
7018389998277774606,1,1
7036319814654151947,1,1
7044814190552321287,1,0
7024386092619025676,0,0
7018383515674889504,1,0
7031153752790830374,1,1
7044789589755612427,1,0
7029201231767784711,1,1
7039973983286054179,1,1
3xqd4wg3dspf9ra,0,0
3xxy6dwpnfur2gg,0,0
7024047971012480293,1,1
7028900912034893086,1,1
7021151306094038307,1,1
7019851942029561091,1,1
7035462964685704479,1,1
7037346913875709197,0,0
3x7t93y4spz9vce,0,0
3xkaxd72w6rqct9,1,1
3xw3y8ahpfbefak,0,0
7053012112385363215,1,1
7027992116609453350,1,1
7034683697068592424,0,0
3xkv3tjmzcqvn9c,0,0
3x9dv6iyh9vqsny,0,0
7057098924561108262,1,1
