vid,y_GT,y_pred
7323709660505050398,0,0
7315447540143426849,1,1
7314335703985327402,1,0
7318404269860818208,0,1
7298530017124896043,1,1
7322189891809594670,0,0
7293488555383475499,0,0
7309787794044505374,1,1
7322704963996601646,0,0
7294242058376580384,1,1
7315539074863992106,0,0
7322798653284814085,0,1
7303046365909650693,0,0
7321554903552331050,1,1
7305400313450745106,1,1
7322912499806784799,0,0
7316675023735885098,1,1
7310044725627800878,1,1
7301154839801744682,1,1
7308941433237441834,1,1
7303933961284111648,0,0
7315098684469923114,0,0
7312500602951503134,1,1
7308850460247461125,1,1
7310063052341185823,0,0
7321818965691419910,1,1
7296194765513706798,0,0
7300729167111277866,1,1
7299183563436592389,1,1
7305748159257398534,1,1
7308985624311155973,0,0
7324677419334438190,0,0
7292937507614805290,1,1
7311401627083115822,0,1
7308725377935887658,1,0
7304407163823213866,0,1
7323239872943230254,1,1
7309260261431512362,0,1
7307032068905553183,1,1
7317612672768298272,1,1
7314262640082095391,1,1
7306319709669215534,1,1
7325180205738331394,1,1
7301156672843140398,1,1
7297768807337037099,0,0
7323439039363992875,1,1
7295287811945565472,1,1
7306170901333069062,1,1
7308010025715436846,0,0
7297022956700634414,1,1
7303108832098602283,0,0
7294817690311494955,1,1
7316543825307045166,1,1
7310957411303476512,0,1
7312267921986735366,1,1
7296740767882825006,1,1
7299305894641208607,1,1
7292572958965533998,1,1
7319207768722902277,0,0
7322307099772423467,0,0
7316980223336172846,0,0
7304947428812131589,1,1
7322347255510437166,1,1
7298652486280170794,1,1
7324474367591664938,0,0
7295610814621355270,1,1
7323811868475411758,0,0
7323342213440687406,0,1
7317601051035667758,1,1
7294993223771082016,1,1
7325048997255662890,0,0
7308791439784185131,0,0
7324219004246150446,0,0
7315500650178104581,1,1
7310159105660914976,1,1
7314403777254132998,0,1
7322905446774345003,0,0
7307712744420134176,1,1
7308794090588474667,1,1
7322084672484379950,1,1
7306539474891132202,0,0
7316738810329451807,0,0
7297140559527808288,1,1
7294641276677524782,1,1
7303564976839609631,1,1
7310341100735155499,1,0
7312957404180679978,0,0
7323724934348361002,0,0
7297673734180097322,0,0
7311857161766767918,1,1
7310184307916672257,0,1
7324901197729549610,1,1
7298613147617840427,1,0
7303142711236906282,1,0
7304811370506161441,0,0
7323980859047005483,1,1
7306834549990837546,1,1
7321567491220622635,1,1
7301555072893226271,0,0
7323436109717851434,1,1
7320020820351552814,0,0
7323041135801240875,0,0
7298349454971784454,0,0
7324860300426087723,0,0
7296604321968311598,0,0
7304466718284352810,0,0
7295472153867078942,0,0
7307952666905185579,0,1
7309670597720575262,1,0
7300959852820499742,1,1
7316380581758192942,0,0
7298094851105639681,1,1
7324068612162047278,0,0
7322969168297413918,1,0
7305066206531472646,0,0
7306666111532109086,1,0
7323437144259824939,1,1
7320753176574119214,0,0
7324235549265448238,1,1
7298519759577042206,1,1
7305626344371539205,1,0
7320476056773823790,1,1
7303727494539021611,0,0
7307340064093162795,1,1
7318030722512457002,0,0
7317091572800032046,1,1
7298082804808600878,0,0
7324137324755848491,0,0
7313291385178754347,1,0
7296684822867578155,0,0
7301143330073611566,1,1
7294301911006711086,1,1
7321361106348428586,1,1
7295824421963500842,0,0
7317793217154452782,0,1
7299252773819026734,1,1
7320345604482190634,0,1
7298564784713239850,1,1
7306078765124160814,1,0
7297328525068029216,0,0
7300696759603318062,1,1
7301910770625826090,1,1
7312571138826177838,1,1
7305639201238797573,1,1
7305058150862916895,1,1
7301279722841984299,1,1
7307456465462316334,1,1
7308520627009342762,0,0
7322105223332252970,0,0
7295858725456268586,1,1
7319643508564839723,1,0
7303612708228795694,0,0
7312960412440448257,0,0
7323658712793550112,1,1
7323650554100583723,1,1
7301971548112506154,0,0
7319201133833080094,1,1
7298161082466618655,1,1
7321091686698929441,0,0
7308727441902570785,0,0
7322339125149961514,1,1
7295102043260308766,1,0
7312727901324053765,1,1
7323723854986186030,0,0
7305427117788138798,1,1
7321005659342818606,0,0
7325177272053304582,1,1
7321956122590563626,1,1
7309164741044325675,0,1
7299891600870690090,1,0
7310595762579098910,1,1
7305536956287470853,0,0
7318710781317483818,1,1
7308754198135442731,1,1
7298681045782744327,1,1
7298163282328685826,1,1
7312825292555406635,0,0
7303654381335989534,0,0
7324340018489740577,0,1
7323153090281164078,1,1
7294438530015710495,1,1
7320630575235075360,1,0
7320864066828913963,1,1
7301395137949732138,0,1
7291827037319286058,1,1
7323739994655444266,1,0
7293600977964256554,1,0
7324901378667597098,0,0
7296956759514696991,1,1
7322347745241779502,1,1
7321061932662869290,1,1
7293712122134023466,0,0
7296878096794340640,0,0
7296232400097496362,0,0
7311036083402329386,1,1
7322560335683128619,1,1
7302768069041163566,1,0
7291830656412175659,1,1
7324322220325571872,1,1
7307332699012975918,1,1
7298495291508952363,0,0
7301498860008901931,1,1
7314381798862114090,0,0
7314429502497639713,0,0
7322919357841984811,0,0
7292461727915019562,1,1
7312390722563460384,0,0
7309696178306813215,0,0
7320557768874741034,0,1
7300594311236767019,0,0
7306199720832044334,1,0
7324608830019489070,1,1
7299271702733770027,0,0
7298758998042496286,0,0
7316540927093493038,0,0
7306621603058601259,0,0
7306280605354872095,0,0
7303441530105105694,1,1
7303642837885701408,1,1
7296849882541772033,1,1
7291839224716791071,1,0
7297802758239931678,0,1
7302467862906604842,1,1
7318165532078017838,1,1
7324033266611129642,0,0
7308589352723008811,0,1
7317312218205343008,0,0
7321093835042327850,1,1
7311827124682247457,1,1
7310690276312468779,0,0
7293996503230647557,1,1
7311789093585685766,1,1
7312373735527386410,1,0
7293241282871414059,1,0
7323007855194377515,0,0
7322201805679562026,0,1
7308852413371272480,1,1
7323791266230111490,0,0
7308385613764496683,1,1
7308701107897830702,0,0
7291954389500153120,1,0
7301376967973145887,0,0
7306412626605559083,0,0
7307629211961806112,0,0
7298741343919148331,0,0
7313005504169659649,1,0
7295783758026870048,0,1
7304588548718578946,1,0
7321533087001611563,0,1
7324728113659694367,0,0
7314109743113522474,1,1
7314308795176455470,0,0
7321387506254089479,1,0
7313638680692804906,0,0
7308565946954763551,0,0
7323971330720697606,1,1
